, https://www.mediawiki.org/
fisica della terra fluida, /wiki/Geofluidodinamica
fisica dell'atmosfera, /wiki/Fisica_dell%27atmosfera
meteorologia, /wiki/Meteorologia
oceanografia fisica, /wiki/Oceanografia_fisica
climatologia, /wiki/Climatologia
geomagnetismo, /wiki/Geomagnetismo
sismologia, /wiki/Sismologia
idrocarburi, /wiki/Idrocarburi
ingegneria civile, /wiki/Ingegneria_civile
ingegneria idraulica, /wiki/Ingegneria_idraulica
ingegneria mineraria, /wiki/Ingegneria_mineraria
energia geotermica, /wiki/Energia_geotermica
prospezioni geofisiche, /wiki/Prospezione_geofisica
tecnica, /wiki/Tecnica
Modelli matematici in fisica, /wiki/Modelli_matematici_in_fisica
Ipersfera, /wiki/Ipersfera
Geometria differenziale, /wiki/Geometria_differenziale
Toro, /wiki/Toro_(geometria)
Il Saggiatore, /wiki/Il_Saggiatore_(Galileo)
1623, /wiki/1623
[20], #cite_note-20
insieme, /wiki/Insieme
collezione, /wiki/Insieme
numeri reali, /wiki/Numero_reale
meccanica dei sistemi vincolati, /wiki/Meccanica_razionale
teoria della relatività generale, /wiki/Teoria_della_relativit%C3%A0_generale
varietà differenziale, /wiki/Variet%C3%A0_differenziale
proiettivizzato, /wiki/Spazio_proiettivo
esperimento di Michelson-Morley, /wiki/Esperimento_di_Michelson-Morley
esperimento della doppia fenditura, /wiki/Esperimento_della_doppia_fenditura
corpo nero, /wiki/Corpo_nero
effetto Compton, /wiki/Effetto_Compton
topologia, /wiki/Topologia
topologia algebrica, /wiki/Topologia_algebrica
differenziale, /wiki/Topologia_differenziale
teorie delle stringhe, /wiki/Teoria_delle_stringhe
geometria differenziale, /wiki/Geometria_differenziale
sistemi meccanici classici, /wiki/Meccanica_classica
analisi funzionale, /wiki/Analisi_funzionale
geometria non commutativa, /w/index.php?title=Geometria_non_commutativa&action=edit&redlink=1
equazioni differenziali alle derivate parziali, /wiki/Equazione_differenziale_alle_derivate_parziali
equazione di Hamilton-Jacobi, /wiki/Teoria_di_Hamilton-Jacobi
equazione di Poisson, /wiki/Equazione_di_Poisson
equazione delle onde, /wiki/Equazione_delle_onde
equazione del calore, /wiki/Equazione_del_calore
algebra, /wiki/Algebra
teoria dei gruppi, /wiki/Teoria_dei_gruppi
prodotto tensoriale, /wiki/Prodotto_tensoriale
spazi tangenti, /wiki/Spazio_tangente
duali, /wiki/Spazio_vettoriale_duale
fibrati vettoriali, /wiki/Fibrato_vettoriale
algebre di Clifford, /wiki/Algebra_di_Clifford
teoria dei spinori, /wiki/Spinore
operatori ellittici, /wiki/Operatore_ellittico
Dirac, /w/index.php?title=Operatore_di_Dirac&action=edit&redlink=1
teoria della misura, /wiki/Teoria_della_misura
teoria della probabilità, /wiki/Teoria_della_probabilit%C3%A0
teoria ergodica, /wiki/Teoria_ergodica
Statistica, /wiki/Statistica
Regressione lineare, /wiki/Regressione_lineare
campionamento statistico, /wiki/Campionamento_statistico
[21], #cite_note-21
analisi di regressione, /wiki/Analisi_di_regressione
regressione lineare, /wiki/Regressione_lineare
fisica statistica, /wiki/Fisica_statistica
deterministiche, /wiki/Determinismo
gradi di libertà, /wiki/Grado_di_libert%C3%A0_(statistica)
Informatica, /wiki/Informatica
Simulazione, /wiki/Simulazione
computer, /wiki/Computer
campionamento, /wiki/Campionamento_(teoria_dei_segnali)
strumento registratore, /wiki/Strumento_registratore
sistema di acquisizione dati, /wiki/Sistema_di_acquisizione_dati
sistema virtuale, /wiki/Realt%C3%A0_virtuale
controllo, /wiki/Controllo_automatico
Chimica, /wiki/Chimica
1, /wiki/Progetto:Fisica
2, /wiki/Progetto:Filosofia
molecole, /wiki/Molecole
Ångström, /wiki/%C3%85ngstr%C3%B6m
atomi, /wiki/Atomi
ioni, /wiki/Ione
complessi attivati, /wiki/Complesso_attivato
legami chimici, /wiki/Legami_chimici
forze di Van der Waals, /wiki/Forze_di_Van_der_Waals
legame a idrogeno, /wiki/Legame_a_idrogeno
forze di London, /wiki/Forza_di_London
Ingegneria, /wiki/Ingegneria
Pioneer 10, /wiki/Pioneer_10
ingegneria edile, /wiki/Ingegneria_edile
statica, /wiki/Statica
resistenza meccanica, /wiki/Resistenza_meccanica
sollecitazioni, /wiki/Azione_esterna
ingegneria meccanica, /wiki/Ingegneria_meccanica
ingegneria motoristica, /w/index.php?title=Ingegneria_motoristica&action=edit&redlink=1
macchine termiche, /wiki/Macchina_termica
ingegneria energetica, /wiki/Ingegneria_energetica
energie rinnovabili, /wiki/Energie_rinnovabili
combustibili fossili, /wiki/Combustibili_fossili
ingegneria dell'informazione, /wiki/Ingegneria_dell%27informazione
informazione, /wiki/Informazione
Econofisica, /wiki/Econofisica
economico, /wiki/Economia
mercati finanziari, /w/index.php?title=Mercato_finaziario&action=edit&redlink=1
mercato azionario, /wiki/Mercato_azionario
modelli, /wiki/Modello_matematico
modelli di percolazione, /wiki/Teoria_della_percolazione
geometria frattale, /wiki/Geometria_frattale
caotici, /wiki/Teoria_del_caos
Filosofia della fisica, /wiki/Filosofia_della_fisica
vuoto, /wiki/Vuoto_(filosofia)
[22], #cite_note-22
epistemologia, /wiki/Epistemologia
filosofia della scienza, /wiki/Filosofia_della_scienza
pubblicazioni scientifiche, /wiki/Pubblicazione_scientifica
riviste scientifiche, /wiki/Rivista_scientifica
revisione paritaria, /wiki/Revisione_paritaria
^, #cite_ref-22
Paul Adrien Maurice Dirac, /wiki/Paul_Adrien_Maurice_Dirac
Unended Quest: An Intellectual Autobiography, https://books.google.com/books?id=CxND59gFftMC&pg=PA148
ISBN, /wiki/ISBN
978-0-415-28589-6, /wiki/Speciale:RicercaISBN/978-0-415-28589-6
LCCN, /wiki/Library_of_Congress_Control_Number
2002067996, http://lccn.loc.gov/2002067996
DISF - Dizionario Interdisciplinare di Scienza e Fede | Chimica, http://web.archive.org/web/20131012012034/http://www.disf.org/Voci/38.asp
legge di Ohm, /wiki/Legge_di_Ohm
potenziale elettrico, /wiki/Potenziale_elettrico
resistenza, /wiki/Resistenza_elettrica
Turchetti, #CITEREFTurchetti
evoluzionismo, /wiki/Evoluzione
Charles Darwin, /wiki/Charles_Darwin
genetica, /wiki/Genetica
fossili, /wiki/Fossile
massa volumica, /wiki/Massa_volumica
glicerina, /wiki/Glicerina
analogici, /wiki/Analogico
errore di parallasse, /wiki/Errore_di_parallasse
teorema del limite centrale, /wiki/Teorema_del_limite_centrale
intervallo di confidenza, /wiki/Intervallo_di_confidenza
The Columbia Encyclopedia, #CITEREFThe_Columbia_Encyclopedia
campionamento dei segnali, /wiki/Campionamento_(teoria_dei_segnali)
grecia antica, /wiki/Grecia_antica
88-08-08962-2, /wiki/Speciale:RicercaISBN/88-08-08962-2
Elementi di Fisica, http://books.google.it/books?id=17cjPQAACAAJ
88-08-09755-2, /wiki/Speciale:RicercaISBN/88-08-09755-2
Fundamentals of Physics, http://books.google.it/books?id=y7lYHi4OZB0C
0-470-46911-0, /wiki/Speciale:RicercaISBN/0-470-46911-0
The Columbia Encyclopedia - "physics", http://www.credoreference.com/entry/columency/physics
Premio Nobel per la fisica, /wiki/Premio_Nobel_per_la_fisica
Costanti fondamentali, /wiki/Costante_fisica#Tabella_di_costanti_fisiche
Lista delle particelle, /wiki/Lista_delle_particelle
Sistema internazionale di unità di misura, /wiki/Sistema_internazionale_di_unit%C3%A0_di_misura
Cosmologia (astronomia), /wiki/Cosmologia_(astronomia)
Fisica molecolare, /wiki/Fisica_molecolare
Fisica ottica, /wiki/Ottica
Fisica dei materiali, /wiki/Fisica_dei_materiali
Fisica dello stato solido, /wiki/Fisica_dello_stato_solido
Materia soffice, /wiki/Materia_soffice
Fisica statistica, /wiki/Fisica_statistica
Fisica dei sistemi complessi, /wiki/Sistema_complesso
Meccanica classica, /wiki/Meccanica_classica
Statica, /wiki/Statica
Cinematica, /wiki/Cinematica
Dinamica, /wiki/Dinamica_(fisica)
Meccanica del continuo, /wiki/Meccanica_del_continuo
meccanica dei solidi, /wiki/Meccanica_dei_solidi
meccanica dei fluidi, /wiki/Meccanica_dei_fluidi
Gravità, /wiki/Gravit%C3%A0
Termodinamica, /wiki/Termodinamica
Meccanica statistica, /wiki/Meccanica_statistica
Calorimetria, /wiki/Calorimetria
Termologia, /wiki/Termologia
Elettromagnetismo, /wiki/Elettromagnetismo
Elettrodinamica, /wiki/Elettrodinamica
Elettrostatica, /wiki/Elettrostatica
Magnetismo, /wiki/Magnetismo
Ottica, /wiki/Ottica
Meccanica relativistica, /wiki/Meccanica_relativistica
Relatività ristretta, /wiki/Relativit%C3%A0_ristretta
Relatività generale, /wiki/Relativit%C3%A0_generale
Meccanica quantistica, /wiki/Meccanica_quantistica
Teoria quantistica dei campi, /wiki/Teoria_quantistica_dei_campi
Elettrodinamica quantistica, /wiki/Elettrodinamica_quantistica
Cromodinamica quantistica, /wiki/Cromodinamica_quantistica
Confronto tra chimica e fisica, /wiki/Confronto_tra_chimica_e_fisica
Problemi irrisolti della fisica, /wiki/Problemi_irrisolti_della_fisica
La fisica di Berkeley, /wiki/La_fisica_di_Berkeley
La fisica di Feynman, /wiki/La_fisica_di_Feynman
Corso di fisica teorica, /wiki/Corso_di_fisica_teorica
Wikisource, https://it.wikisource.org/wiki/
Wikiquote, https://it.wikiquote.org/wiki/Fisica
Wikibooks, https://it.wikibooks.org/wiki/
Wikizionario, https://it.wiktionary.org/wiki/
Wikiversità, https://it.wikiversity.org/wiki/Fisica
Wikinotizie, https://it.wikinews.org/wiki/
Wikimedia Commons, https://commons.wikimedia.org/wiki/Physics
fisica, 
Istituto dell'Enciclopedia Italiana, /wiki/Istituto_dell%27Enciclopedia_Italiana
Fisica, /wiki/Categoria:Fisica
Dizionario storico della Svizzera, /wiki/Dizionario_storico_della_Svizzera
Enciclopedia Britannica, /wiki/Enciclopedia_Britannica
